cycle_id,total_seed,size,weight,harvested,SR
27016,400000,103.0,740.0,76220.0,19.055
27016,400000,106.0,150.0,15900.0,3.975
27016,400000,89.0,270.0,24030.0,6.0075
27016,400000,106.0,260.0,27560.0,6.890000000000001
27016,400000,112.0,450.0,50400.0,12.6
27016,400000,103.0,260.0,26780.0,6.694999999999999
27016,400000,103.0,29.0,2987.0,0.74675
5442,392000,138.0,597.55,82461.9,21.036198979591838
5442,392000,91.0,2449.86,222937.26,56.87175
7897,100000,245.0,115.0,28175.0,28.175
7897,100000,250.0,115.0,28750.0,28.749999999999996
7897,100000,200.0,215.0,43000.0,43.0
29263,60000,200.0,352.0,70400.0,117.33333333333333
15402,194000,109.0,536.61,58490.49,30.149737113402058
15402,194000,78.0,488.45,38099.1,19.638711340206186
15402,194000,59.0,655.11,38651.49,19.92344845360825
15402,194000,47.0,681.55,32032.85,16.511778350515463
21461,100000,75.0,200.0,15000.0,15.0
21461,100000,61.0,250.0,15250.0,15.25
21461,100000,52.0,250.0,13000.0,13.0
21461,100000,43.0,250.0,10750.0,10.75
21461,100000,36.0,1875.0,67500.0,67.5
27906,30000,250.0,75.0,18750.0,62.5
18518,411984,155.0,516.27,80021.84999999999,19.42353343819177
18518,411984,95.0,412.59,39196.049999999996,9.513973843644411
18518,411984,95.0,1536.0,145920.0,35.41885121752301
23702,192500,68.0,540.0,36720.0,19.075324675324676
23702,192500,48.0,354.0,16992.0,8.827012987012987
23702,192500,37.25,840.0,31290.0,16.254545454545454
23702,192500,37.25,4.16,154.96,0.0804987012987013
23702,192500,37.25,0.96,35.76,0.018576623376623375
23702,192500,37.25,3564.67,132783.9575,68.97867922077921
23702,192500,37.25,21.03,783.3675000000001,0.4069441558441559
23702,192500,37.25,44.31,1650.5475000000001,0.8574272727272727
24693,238590,81.0,248.75,20148.75,8.444926442851754
24693,238590,76.0,393.0,29868.0,12.518546460455173
24693,238590,67.0,480.0,32160.0,13.47919024267572
24693,238590,64.0,540.0,34560.0,14.485099962278387
24693,238590,66.1,888.6,58736.46,24.61815667043883
24693,238590,95.0,114.55,10882.25,4.561067102560878
25131,449540,80.5,1307.6,105261.79999999999,23.41544690127686
25131,449540,62.0,3458.8,214445.6,47.70334119321974
21931,600000,80.0,2500.0,200000.0,33.33333333333333
21931,600000,20.5,5200.0,106600.0,17.766666666666666
23708,174000,70.0,352.87,24700.9,14.195919540229887
23708,174000,46.0,333.2,15327.199999999999,8.808735632183907
23708,174000,36.72,33.0,1211.76,0.6964137931034483
23708,174000,36.21,3238.32,117259.5672,67.39055586206896
23708,174000,36.21,1.0,36.21,0.02081034482758621
23708,174000,36.21,15.59,564.5139,0.32443327586206894
23708,174000,36.21,2.56,92.69760000000001,0.05327448275862069
23708,174000,36.0,510.0,18360.0,10.551724137931034
23708,174000,36.21,1.96,70.9716,0.040788275862068964
23708,174000,36.21,1.03,37.2963,0.021434655172413795
28844,3500,222.0,7.3,1620.6,46.30285714285714
28844,3500,215.0,2.1,451.5,12.9
28844,3500,200.0,5.2,1040.0,29.714285714285715
28844,3500,185.0,2.25,416.25,11.892857142857142
16347,297000,86.75,606.36,52601.73,17.711020202020205
16347,297000,70.11,446.06,31273.2666,10.529719393939393
16347,297000,68.89,3397.66,234064.79739999998,78.80969609427608
29100,333500,47.0,6559.19,308281.93,92.43835982008996
18237,80000,65.0,400.0,26000.0,32.5
21089,70000,103.0,215.0,22145.0,31.635714285714283
27764,299108,71.3,565.5,40320.15,13.480130922609893
27764,299108,56.0,530.0,29680.0,9.922837236048517
27764,299108,50.5,795.86,40190.93,13.436929135964268
